Titel;Album;Interpret;Jahr
Just A Normal Day;Crisis? What Crisis;Supertramp;1975
Black Diamond Bay;Desire;Bob Dylan;1975
Drifter's Escape;John Wesley Harding;Bob Dylan;1967
Waiting So Long;The Very Best Of Supertramp Vol. 2;Supertramp;1992
Desolation Row;Highway 61 Revisited;Bob Dylan;1965
Stack A Lee;World Gone Wrong;Bob Dylan;1993
Don't Think Twice, It's All Right;The Best Of Bob Dylan;Bob Dylan;1997
Crime Of The Century;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Seeing The Real You At Last;Empire Burlesque;Bob Dylan;1985
Like A Rolling Stone (live);Self Portrait;Bob Dylan;1970
High Water;Love And Theft;Bob Dylan;2001
An Awful Thing To Waste;Free As A Bird;Supertramp;1987
Rosie Had Everything Planned;Indelibly Stamped;Supertramp;1971
Crime Of The Century;The Very Best Of Supertramp;Supertramp;1990
Emotionally Yours;Empire Burlesque;Bob Dylan;1985
When You Awake (live);Before The Flood;Bob Dylan;1974
Spirit On The Water;Modern Times;Bob Dylan;2006
Summer Romance;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Sister Moonshine;Crisis? What Crisis;Supertramp;1975
Where There's A Will;Some Things Never Change;Supertramp;1997
Big Yellow Taxi;Dylan;Bob Dylan;1973
Crime Of The Century (live);Paris;Supertramp;1980
Better Days;Brother Where You Bound;Supertramp;1985
Shelter From The Storm;The Best Of Bob Dylan;Bob Dylan;1997
Take The Long Way Home (live);Paris;Supertramp;1980
Final Theme ('Pat Garrett And Billy The Kid');Pat Garrett And Billy The Kid;Bob Dylan;1973
Little By Little;Slow Motion;Supertramp;2002
Orange Juice Blues (Blues For Breakfast);The Basement Tapes;Bob Dylan;1975
It's Raining Again;The Very Best Of Supertramp;Supertramp;1990
It's A Hard World;Some Things Never Change;Supertramp;1997
Rudy;The Very Best Of Supertramp;Supertramp;1990
My Kind Of Lady;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Main Tittle Theme (Billy);Pat Garrett And Billy The Kid;Bob Dylan;1973
Take The Long Way Home;The Very Best Of Supertramp;Supertramp;1990
Knockin' On Heaven's Door;Pat Garrett And Billy The Kid;Bob Dylan;1973
Dreamer (live);Paris;Supertramp;1980
You Never Can Tell With Friends;Free As A Bird;Supertramp;1987
Just Like A Woman;The Best Of Bob Dylan;Bob Dylan;1997
The Mighty Quinn (live);Self Portrait;Bob Dylan;1970
Bloody Well Right;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Dreamer;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Knockin' On Heaven's Door;The Best Of Bob Dylan;Bob Dylan;1997
Thing For You;Free As A Bird;Supertramp;1987
Surely;Supertramp;Supertramp;1970
House Of The Risin' Sun;Bob Dylan;Bob Dylan;1962
Don't Leave Me Now;Famous Last Words;Supertramp;1982
Free As A Bird;The Very Best Of Supertramp Vol. 2;Supertramp;1992
Someday Baby;Modern Times;Bob Dylan;2006
Tangled Up In Blue;The Best Of Bob Dylan;Bob Dylan;1997
On A Night Like This;Planet Waves;Bob Dylan;1974
Lover Boy;Even In The Quietest Moments;Supertramp;1977
Quinn The Eskimo;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Delia;World Gone Wrong;Bob Dylan;1993
Long Distance Operator;The Basement Tapes;Bob Dylan;1975
Stuck Inside Of Mobile With The Memphis Blues Again (live);Hard Rain;Bob Dylan;1976
Goodbye Stranger;Breakfast In America;Supertramp;1979
And The Light (live);It Was The Best Of Times;Supertramp;1999
Romance In Durango;Desire;Bob Dylan;1975
Please,Mrs. Henry;The Basement Tapes;Bob Dylan;1975
It's Alright;Free As A Bird;Supertramp;1987
Bloody Well Right;Crime Of The Century;Supertramp;1974
You Started Laughing (live);Paris;Supertramp;1980
Hide In Your Shell;The Very Best Of Supertramp;Supertramp;1990
Gotta Serve Somebody;Slow Train Coming;Bob Dylan;1979
Wedding Song;Planet Waves;Bob Dylan;1974
Mr. Bojangles;Dylan;Bob Dylan;1973
Cannonball;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Lily of the West;Dylan;Bob Dylan;1973
Help Me Down That Road;Some Things Never Change;Supertramp;1997
Shot Of Love;Shot Of Love;Bob Dylan;1981
It's A Long Road;Supertramp;Supertramp;1970
Rainy Day Women Nos. 12 + 35 (live);MTV Unplugged;Bob Dylan;1994
Tombstone Blues (live);MTV Unplugged;Bob Dylan;1994
Cry A While;Love And Theft;Bob Dylan;2001
Give A Little Bit;The Very Best Of Supertramp;Supertramp;1990
Just Another Nervous Wreck;The Very Best Of Supertramp Vol. 2;Supertramp;1992
I Shall Be Free - No. 10;Another Side Of Bob Dylan;Bob Dylan;1964
A Sting In The Tail;Slow Motion;Supertramp;2002
Even In The Quietest Moments;Retrospectacle - The Supertramp Anthology;Supertramp;2005
No Time To Think;Street Legal;Bob Dylan;1978
Nettie Moore;Modern Times;Bob Dylan;2006
My Back Pages;Another Side Of Bob Dylan;Bob Dylan;1964
Do Right To Me Baby;Slow Train Coming;Bob Dylan;1979
Waiting So Long;Famous Last Words;Supertramp;1982
Don't Fall Apart On Me Tonight;Infidels;Bob Dylan;1983
Ugliest Girl In The World;Down In The Groove;Bob Dylan;1988
My Kind Of Lady;The Very Best Of Supertramp Vol. 2;Supertramp;1992
Fool's Overture;Even In The Quietest Moments;Supertramp;1977
John Brown (live);MTV Unplugged;Bob Dylan;1994
You're A Big Girl Now (live);Hard Rain;Bob Dylan;1976
Sign On The Window;New Morning;Bob Dylan;1970
You Wanna Ramble;Knocked Out Loaded;Bob Dylan;1986
Endless Highway (live);Before The Flood;Bob Dylan;1974
C'est What;Some Things Never Change;Supertramp;1997
Stage Fright (live);Before The Flood;Bob Dylan;1974
I Shall Be Released;The Best Of Bob Dylan;Bob Dylan;1997
