Titel;Album;Interpret;Jahr;;Titel;Album;Interpret;Jahr;;;;;
A Hard Rain's A-Gonna Fall;The Best Of Bob Dylan Volume 2;Bob Dylan;2000;;A Hard Rain's A-Gonna Fall;The Best Of Bob Dylan Volume 2;Bob Dylan;2000;;1;1;1;1
A Satisfied Mind;Saved;Bob Dylan;1980;;A Satisfied Mind;Saved;Bob Dylan;1980;;1;1;1;1
A Soapbox Opera;Crisis? What Crisis;Supertramp;1975;;A Soapbox Opera;Crisis? What Crisis;Supertramp;1975;;1;1;1;1
A Soapbox Opera (live);Paris;Supertramp;1980;;A Soapbox Opera;The Very Best Of Supertramp Vol. 2;Supertramp;1992;;1;#NV;1;#NV
A Soapbox Opera;The Very Best Of Supertramp Vol. 2;Supertramp;1992;;A Soapbox Opera (live);Paris;Supertramp;1980;;#NV;1;1;1
A Sting In The Tail;Slow Motion;Supertramp;2002;;A Sting In The Tail;Slow Motion;Supertramp;2002;;1;1;1;1
Absolutely Sweet Marie;Blonde On Blonde;Bob Dylan;1966;;Absolutely Sweet Marie;Blonde On Blonde;Bob Dylan;1966;;1;1;1;1
Ain't No More Cane;The Basement Tapes;Bob Dylan;1975;;Ain't No More Cane;The Basement Tapes;Bob Dylan;1975;;1;1;1;1
Ain't Nobody But Me;Crisis? What Crisis;Supertramp;1975;;Ain't Nobody But Me;Crisis? What Crisis;Supertramp;1975;;1;1;1;1
Ain't Nobody But Me (live);Paris;Supertramp;1980;;Ain't Nobody But Me;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;1;#NV;1;#NV
Ain't Nobody But Me;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;Ain't Nobody But Me;The Very Best Of Supertramp;Supertramp;1990;;1;#NV;1;1
Ain't Nobody But Me;The Very Best Of Supertramp;Supertramp;1990;;Ain't Nobody But Me (live);Paris;Supertramp;1980;;#NV;1;1;1
Ain't Talkin';Modern Times;Bob Dylan;2006;;Ain't Talkin';Modern Times;Bob Dylan;2006;;1;1;1;1
Alberta #1;Self Portrait;Bob Dylan;1970;;Alberta #1;Self Portrait;Bob Dylan;1970;;1;1;1;1
Alberta #2;Self Portrait;Bob Dylan;1970;;Alberta #2;Self Portrait;Bob Dylan;1970;;1;1;1;1
