1. Zeile: Hallo
2. Zeile: Ziel
3. Zeile: DateiTitel;Album;Interpret;Jahr
A Hard Rain's A-Gonna Fall;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
A Satisfied Mind;Saved;Bob Dylan;1980
A Soapbox Opera;Crisis? What Crisis;Supertramp;1975
A Soapbox Opera (live);Paris;Supertramp;1980
A Soapbox Opera;The Very Best Of Supertramp Vol. 2;Supertramp;1992
A Sting In The Tail;Slow Motion;Supertramp;2002
Absolutely Sweet Marie;Blonde On Blonde;Bob Dylan;1966
Ain't No More Cane;The Basement Tapes;Bob Dylan;1975
Ain't Nobody But Me;Crisis? What Crisis;Supertramp;1975
Ain't Nobody But Me (live);Paris;Supertramp;1980
Ain't Nobody But Me;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Ain't Nobody But Me;The Very Best Of Supertramp;Supertramp;1990
Ain't Talkin';Modern Times;Bob Dylan;2006
Alberta #1;Self Portrait;Bob Dylan;1970
Alberta #2;Self Portrait;Bob Dylan;1970
All Along The Watchtower (live);Before The Flood;Bob Dylan;1974
All Along The Watchtower;John Wesley Harding;Bob Dylan;1967
All Along The Watchtower (live);MTV Unplugged;Bob Dylan;1994
All Along The Watchtower;The Best Of Bob Dylan;Bob Dylan;1997
All I Really Want To Do;Another Side Of Bob Dylan;Bob Dylan;1964
All The Tired Horses;Self Portrait;Bob Dylan;1970
An Awful Thing To Waste;Free As A Bird;Supertramp;1987
And The Light (live);It Was The Best Of Times;Supertramp;1999
And The Light;Some Things Never Change;Supertramp;1997
Another Man's Woman;Crisis? What Crisis;Supertramp;1975
Another Man's Woman;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Apple Sucking Tree;The Basement Tapes;Bob Dylan;1975
Are You Ready;Saved;Bob Dylan;1980
Aries;Indelibly Stamped;Supertramp;1971
Arthur McBride;Good As I Been To You;Bob Dylan;1992
As I Went Out One Morning;John Wesley Harding;Bob Dylan;1967
Asylum;Crime Of The Century;Supertramp;1974
Asylum (live);Paris;Supertramp;1980
Aubade And I Am Not Like The Other Birds Of Prey;Supertramp;Supertramp;1970
Babaji;Even In The Quietest Moments;Supertramp;1977
Babaji;The Very Best Of Supertramp Vol. 2;Supertramp;1992
Baby, Let Me Follow You Down;Bob Dylan;Bob Dylan;1962
Baby, Stop Crying;Street Legal;Bob Dylan;1978
Ballad In Plain D;Another Side Of Bob Dylan;Bob Dylan;1964
Ballad Of A Thin Man (live);Before The Flood;Bob Dylan;1974
Ballad Of A Thin Man;Highway 61 Revisited;Bob Dylan;1965
Ballad of Ira Hayes;Dylan;Bob Dylan;1973
Bee In Your Bonnet;Slow Motion;Supertramp;2002
Belle Isle;Self Portrait;Bob Dylan;1970
Bessie Smith;The Basement Tapes;Bob Dylan;1975
Better Days;Brother Where You Bound;Supertramp;1985
Beyond The Horizon;Modern Times;Bob Dylan;2006
Big Yellow Taxi;Dylan;Bob Dylan;1973
Billy 1;Pat Garrett And Billy The Kid;Bob Dylan;1973
Billy 4;Pat Garrett And Billy The Kid;Bob Dylan;1973
Billy 7;Pat Garrett And Billy The Kid;Bob Dylan;1973
Black Crow Blues;Another Side Of Bob Dylan;Bob Dylan;1964
Black Diamond Bay;Desire;Bob Dylan;1975
Blackjack Davey;Good As I Been To You;Bob Dylan;1992
Blood In My Eyes;World Gone Wrong;Bob Dylan;1993
